RA,Nome,Gênero,Turma,Escola,Instituição de ensino,Ativo/ Inativo,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2024,INDE 2022,INDE 2023,INDE 2024,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Avaliador4,Avaliador5,Avaliador6,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-1058,Aluno-1058,Feminino,1K,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,1K,Fase 2 (5° e 6° ano),-1,Ametista,,7.356533333,7.703347619,2014-04-09 00:00:00,10,,,,Ametista,,,,2,Avaliador-15,,Avaliador-2,,,,,,9.168,8.095238095,6.88,8.125,,7.75,7.5,8.0,,,,8.085,5.0,,,,2024
RA-1059,Aluno-1059,Masculino,2M,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,2M,Fase 2 (5° e 6° ano),0,Topázio,,7.763741667,8.678450000000002,2013-07-06 00:00:00,11,,,,Ametista,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,8.002,10.0,6.26,9.0625,,7.5,7.5,7.5,,,,9.23,10.0,,,,2024
RA-106,Aluno-106,Feminino,6A,Colégio Arco Íris Evolução,Privada - Programa de Apadrinhamento,Cursando,2021,6A,Fase 6 (2° EM),0,Ametista,7.9733816513168145,7.769658333,7.721664285733334,2007-12-23 00:00:00,16,Topázio,Ametista,Ametista,Ametista,,,,5,Avaliador-23,,Avaliador-24,,Avaliador-1,Avaliador-26,Avaliador-7,,9.168,8.761904762,5.635,7.8125,,5.666666666666667,7.0,3.5,6.5,,,7.872,10.0,,,,2024
RA-1060,Aluno-1060,Masculino,2M,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2023,2M,Fase 2 (5° e 6° ano),0,Agata,,7.095741667,6.448416666600001,2012-11-06 00:00:00,12,,,,Ametista,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,9.585,6.0,6.26,7.8125,,3.25,3.5,3.0,,,,6.163333333,10.0,,,,2024
RA-1061,Aluno-1061,Masculino,2M,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,2M,Fase 2 (5° e 6° ano),0,Topázio,,8.196533333,8.76595,2013-07-25 00:00:00,11,,,,Topázio,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,8.502,10.0,6.26,8.4375,,8.5,7.0,10.0,,,,8.73,10.0,,,,2024
RA-1062,Aluno-1062,Masculino,1L,EM Alfredo Schunk,Pública,Cursando,2023,1L,Fase 2 (5° e 6° ano),-1,Ametista,,7.448841667,7.6147238096,2014-01-10 00:00:00,10,,,,Ametista,,,,2,Avaliador-15,,Avaliador-2,,,,,,8.002,9.047619048,5.63,8.75,,7.25,6.5,8.0,,,,8.085,5.0,,,,2024
RA-1063,Aluno-1063,Masculino,2N,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2023,2N,Fase 3 (7° e 8° ano),-1,Ametista,,7.490825,7.279250000000001,2012-02-04 00:00:00,12,,,,Ametista,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,5.25,9.75,7.51,7.8125,,7.75,9.0,6.5,,,,6.11,5.0,,,,2024
RA-1064,Aluno-1064,Masculino,2N,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,2N,Fase 2 (5° e 6° ano),0,Topázio,,8.4777,8.9802350877,2013-08-31 00:00:00,11,,,,Topázio,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,9.502,9.7368421055,7.51,8.75,,8.5,8.0,9.0,,,,8.783333333,10.0,,,,2024
RA-1065,Aluno-1065,Feminino,2N,EE Helio Luiz Dobrochinski Prof,Pública,Cursando,2023,2N,Fase 2 (5° e 6° ano),0,Topázio,,8.03395,8.8634934783,2013-07-02 00:00:00,11,,,,Topázio,,,,3,Avaliador-20,,Avaliador-19,,Avaliador-2,,,,9.502,8.8152173915,6.26,9.0625,,9.25,9.0,9.5,,,,8.84,10.0,,,,2024
RA-1066,Aluno-1066,Feminino,2L,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2023,2L,Fase 2 (5° e 6° ano),0,Ametista,,7.262616667,7.9326223603,2013-09-16 00:00:00,11,,,,Ametista,,,,3,Avaliador-19,,Avaliador-25,,Avaliador-2,,,,9.502,8.3954451345,6.26,7.5,,7.25,7.0,7.5,,,,7.386666667,10.0,,,,2024
RA-1067,Aluno-1067,Masculino,1K,EM Cecilia Cristina de Oliveira Rodrigues,Pública,Cursando,2023,1K,Fase 2 (5° e 6° ano),-1,Ametista,,6.541458333,7.840033333300001,2013-08-21 00:00:00,11,,,,Agata,,,,2,Avaliador-15,,Avaliador-2,,,,,,10.002,8.333333332999999,7.51,8.541666667,,6.75,6.5,7.0,,,,8.59,5.0,,,,2024
RA-1068,Aluno-1068,Masculino,2R,EE Maria André Schunck Dona,Pública,Cursando,2023,2R,Fase 2 (5° e 6° ano),0,Topázio,,8.472533333,9.0150030303,2013-01-03 00:00:00,11,,,,Topázio,,,,3,Avaliador-19,,Avaliador-25,,Avaliador-2,,,,9.502,9.068181818,7.51,8.541666667,,9.5,9.0,10.0,,,,8.73,10.0,,,,2024
RA-1069,Aluno-1069,Masculino,2K,EE Maria André Schunck Dona,Pública,Cursando,2023,2K,Fase 2 (5° e 6° ano),0,Ametista,,7.590033333,7.678917391300001,2012-09-18 00:00:00,12,,,,Ametista,,,,4,Avaliador-17,,Avaliador-19,,Avaliador-25,Avaliador-2,,,9.002,7.0760869565,7.51,8.125,,6.25,7.0,5.5,,,,7.75,10.0,,,,2024
RA-107,Aluno-107,Feminino,5D,EE Mario Francisco de Amorim,Pública,Cursando,2021,5D,Fase 6 (2° EM),-1,Agata,6.258056446780273,6.845208333,6.676130827066667,2007-11-25 00:00:00,16,Topázio,Ágata,Ágata,Agata,,,,5,Avaliador-23,,Avaliador-26,,Avaliador-22,Avaliador-1,Avaliador-5,,7.5,7.9949874686666655,7.51,7.5,,4.666666666666667,0.0,4.5,9.5,,,6.964,5.0,,,,2024
RA-1070,Aluno-1070,Masculino,1P,EE Donizetti Aparecido Leite Professor,Pública,Cursando,2023,1P,Fase 2 (5° e 6° ano),-1,Agata,,6.939033333,6.287171861500001,2012-08-28 00:00:00,12,,,,Agata,,,,4,Avaliador-3,,Avaliador-18,,Avaliador-17,Avaliador-15,,,9.002,9.3073593075,5.635,6.875,,2.25,4.5,0.0,,,,6.6225,5.0,,,,2024
RA-1071,Aluno-1071,Masculino,2R,EE Maria André Schunck Dona,Pública,Cursando,2023,2R,Fase 3 (7° e 8° ano),-1,Quartzo,,6.414033333,4.8048623378,2012-04-25 00:00:00,12,,,,Agata,,,,3,Avaliador-19,,Avaliador-25,,Avaliador-2,,,,8.002,4.188311688500001,7.51,4.166666667,,4.5,4.0,5.0,,,,2.996666667,5.0,,,,2024
RA-1072,Aluno-1072,Masculino,3B,EE Leonice de Aquino Oliveira,Pública,Cursando,2023,3B,Fase 3 (7° e 8° ano),0,Ametista,,8.0152,7.8153856754,2011-12-28 00:00:00,12,,,,Topázio,,,,4,Avaliador-21,,Avaliador-26,,Avaliador-23,Avaliador-5,,,8.751,5.627886710333333,8.755,7.96875,,8.166666666666666,8.0,7.0,9.5,,,7.545,10.0,,,,2024
RA-1073,Aluno-1073,Feminino,3A,EE Mario Francisco de Amorim,Pública,Cursando,2022,3A,Fase 3 (7° e 8° ano),0,Ametista,,6.384333333,7.0859945773333335,2011-06-02 00:00:00,13,,,,Agata,,,,4,Avaliador-21,,Avaliador-26,,Avaliador-23,Avaliador-5,,,9.168,6.370972886666667,7.5,6.875,,6.5,6.5,5.0,8.0,,,5.7875,10.0,,,,2024
RA-1075,Aluno-1075,Feminino,2A,EE Leonice de Aquino Oliveira,Pública,Cursando,2023,2A,Fase 3 (7° e 8° ano),-1,Agata,,6.591333333,6.8100812324,2010-12-19 00:00:00,13,,,,Agata,,,,3,Avaliador-19,,Avaliador-5,,Avaliador-2,,,,7.5,8.5154061625,3.755,7.708333333,,6.0,5.0,7.0,,,,7.553333333,5.0,,,,2024
